,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
13,Los Angeles Dodgers,"3,703,312","45,720",28.9,28.9,97,96,0,3,18,"$231,342,096 ",3:10,35,19,54%,Roberts,2016
14,Miami Marlins,"1,712,417","21,405",28.3,28.0,93,94,0,4,11,"$72,472,000 ",3:05,53,34,64%,Mattingly,2016
15,Milwaukee Brewers,"2,314,614","28,575",27.5,28.1,102,102,0,1,9,"$52,077,500 ",3:08,47,22,46%,Counsell,2016
16,Minnesota Twins,"1,963,912","24,246",26.9,28.3,100,100,0,1,17,"$93,333,700 ",3:05,28,17,60%,Molitor,2016
17,New York Mets,"2,789,602","34,440",29.5,28.4,96,96,0,4,13,"$155,221,282 ",3:05,28,18,64%,Collins,2016
18,New York Yankees,"3,063,405","37,820",30.1,27.9,103,102,0,3,20,"$193,229,350 ",3:03,28,18,64%,Girardi,2016
19,Oakland Athletics,"1,521,506","18,784",28.7,27.9,96,97,0,1,12,"$54,969,067 ",2:56,34,22,64%,Melvin,2016
20,Philadelphia Phillies,"1,915,144","23,644",26.9,26.3,99,100,0,1,6,"$84,846,666 ",3:03,46,26,56%,Mackanin,2016
21,Pittsburgh Pirates,"2,249,201","27,768",28.9,28.6,99,99,0,2,16,"$81,187,933 ",3:11,55,25,45%,Hurdle,2016
22,San Diego Padres,"2,351,422","29,030",28.1,28.1,95,95,0,2,11,"$50,656,166 ",3:06,57,27,47%,Green,2016
23,Seattle Mariners,"2,267,928","27,999",30.5,28.8,96,96,0,1,12,"$137,169,100 ",3:02,37,22,59%,Servais,2016
24,San Francisco Giants,"3,365,256","41,546",29.1,30.0,96,96,0,4,15,"$177,021,333 ",3:10,49,31,63%,Bochy,2016
25,St. Louis Cardinals,"3,444,490","42,525",28.5,28.0,98,97,0,2,13,"$150,353,500 ",3:01,54,28,51%,Matheny,2016
26,Tampa Bay Rays,"1,286,163","15,879",27.7,26.9,95,95,0,1,10,"$48,223,791 ",3:01,49,29,59%,Cash,2016
27,Texas Rangers,"2,710,402","33,462",28.4,28.8,107,108,0,2,14,"$212,117,760 ",3:00,51,23,45%,Banister,2016
28,Toronto Blue Jays,"3,392,099","41,878",30.1,29.8,102,101,0,5,17,"$182,690,767 ",3:00,49,19,38%,Gibbons,2016
29,Washington Nationals,"2,481,938","30,641",28.8,29.1,103,102,0,5,15,"$152,967,400 ",3:08,47,19,40%,Baker,2016
0,Arizona Diamondbacks,"2,080,145","25,681",26.6,27.1,105,105,0,2,8,"$64,434,000 ",3:10,34,21,61%,Hale,2015
1,Atlanta Braves,"2,001,392","24,709",28.8,26.6,97,98,0,1,13,"$104,037,500 ",2:55,46,22,47%,González,2015
2,Baltimore Orioles,"2,281,202","29,246",27.9,28.3,102,102,0,4,13,"$112,989,833 ",2:55,30,17,56%,Showalter,2015
3,Boston Red Sox,"2,880,694","35,564",28.3,28.6,107,107,1,1,20,"$183,931,900 ",3:06,52,21,40%,Farrell,2015
4,Chicago Cubs,"2,919,122","36,039",26.9,29.3,98,97,0,2,18,"$115,306,610 ",3:02,48,28,58%,Maddon,2015
5,Chicago White Sox,"1,755,810","21,677",28.2,27.8,96,97,0,1,11,"$112,889,700 ",3:00,41,21,51%,Ventura,2015
6,Cincinnati Reds,"2,419,506","29,870",29.5,27.3,100,101,0,2,13,"$111,572,286 ",3:02,33,20,60%,Price,2015
7,Cleveland Indians,"1,388,905","17,361",28.0,27.3,107,107,0,1,13,"$59,163,766 ",3:00,28,15,53%,Francona,2015
8,Colorado Rockies,"2,506,789","30,948",28.0,28.7,118,118,0,3,8,"$96,438,600 ",3:06,47,25,53%,Weiss,2015
9,Detroit Tigers,"2,726,048","33,655",28.3,28.7,99,99,0,4,17,"$172,284,750 ",3:09,27,11,40%,Ausmus,2015
10,Houston Astros,"2,153,585","26,587",26.3,29.4,97,97,0,2,12,"$93,256,200 ",3:03,48,23,47%,Hinch,2015
11,Kansas City Royals,"2,708,549","33,439",29.1,30.0,104,104,0,7,16,"$121,590,475 ",3:00,33,21,63%,Yost,2015
12,Los Angeles Angels of Anaheim,"3,012,765","37,195",28.7,28.3,94,94,0,3,11,"$131,522,500 ",3:00,40,24,60%,Scioscia,2015
13,Los Angeles Dodgers,"3,764,815","46,479",29.5,28.1,95,94,0,5,16,"$265,140,429 ",3:03,41,17,41%,Mattingly,2015
14,Miami Marlins,"1,752,235","21,633",27.9,27.3,96,97,0,2,12,"$71,231,500 ",2:51,31,19,61%,Redmond and Jennings,2015
15,Milwaukee Brewers,"2,542,558","31,390",28.1,28.4,100,101,0,2,13,"$70,869,500 ",3:01,30,16,53%,Roenicke and Counsell,2015
16,Minnesota Twins,"2,220,054","27,408",28.3,29.1,100,101,0,2,14,"$107,755,000 ",2:57,42,26,61%,Molitor,2015
17,New York Mets,"2,569,753","31,725",28.6,28.2,97,97,0,1,13,"$98,874,473 ",2:56,35,19,54%,Collins,2015
18,New York Yankees,"3,193,795","39,430",31.4,27.4,101,101,0,3,16,"$214,051,957 ",3:08,30,22,73%,Girardi,2015
19,Oakland Athletics,"1,768,175","21,829",27.9,27.8,97,97,0,2,14,"$64,016,001 ",3:01,29,15,51%,Melvin,2015
20,Philadelphia Phillies,"1,831,080","22,606",28.0,28.5,97,98,0,1,11,"$103,082,167 ",2:58,38,24,63%,Sandberg and Mackanin,2015
